Aaliyah	Arabic, Hebrew	high exalted, to ascend
Julie	French	From a Roman, possibly meaning youthful.
Juliet		From a Roman name, possibly meaning youthful.
Julinka	Latin	youthful
Julya	Russian	From a Roman, possibly meaning youthful.
Jumoke	Nigerian	The beloved one.
Jun	Chinese	The truth.
June	English	From the month of June.
Juniper	Latin	From the name of die juniper plant.
Juno	Latin	The heavenly one. The wife of Jupiter in Roman mythology. Also a form of Una.
Justine	Latin	Fair, just. The feminine form of Justin.
Jutta		A woman from Judea, or die praised one. Also see Jodie.
Jutte		A woman from Judea, or die praised one. Also see Jodie.
Jyoti	Sanskrit	Light.
Jyotsna	Hindu	
Kaatje	Dutch	pure
Kachine	Native American	sacred dancer
Kade	Indonesian	A popular girl's name.
Kadee	Aboriginal	Mother.
Kadija	African	the prophet's wift
Kadira	Arabic	Powerful.
Kadisha	Hebrew	holy
Kaede	Japanese	maple leaf
Kaelyn	Old English	meadow
Kaer		Breton form of Katherine.
Kaethe	Greek	pure
Kagami	Japanese	A motor.
Kai	Hawaiian, Navajo Indian	sea, willow tree
Kaia	Greek	earth
Kaie	Celtic	combat
Kaili	Hawaiian	a deity
Kaimi	Polynesian	the seeker
Kairos	Greek	goddess from Jupiter
Kaitlyn		Pure.
Kaiya	Aboriginal	A type of spear.
Kaja		A daisy.
Kajal	Hindu	eyeliner
Kajol	Hindu	
Kajsa	Swedish	Kaisa
Kakra	Ghanese	younger of twins
Kala	Aboriginal	Fire.
Kalama	Hawaiian	flaming torch
Kalanit	Hebrew	flower name
Kalantha		A beautiful blossom.
Kalare	Latin	bright, clear
Kalea	Hawaiian	Bright.
Kaley		A warrior maid.
Kali	Sanskrit	Black.
Kalie	Dutch	Kali
Kalika	Greek	A rosebud.
Kalila	Arabic	Beloved.
Kalinda	Sanskrit/Aboriginal	Sanskrit: The sea. Aboriginal: A lookout.
Kaliska	Miwok Indian	coyote chasing deer
Kalista		The most beautiful one.
Kalle	Finnish	strong
Kalliope		A beautiful voice. The muse of poetry in Greek mythology.
Kalonice	Greek	beauty?s victory
Kalpana	Sanskrit	A fantasy.
Kalyani	Sanskrit	Auspicious, beautiful.
Kalypso		A legendary sea nymph. Also a West Indian style of music.
Kama	Sanskrit/Thai	Sanskrit: The golden one. Thai: Love. A boy or girl's name.
Kamakshi	Hindu	a Devi, same as Lalita
Kamala	Sanskrit	A loin.
Kamali	Rhodesian	spirit protector
Kamaria	Swahili	like the moon
Kamballa	Aboriginal	A young woman.
Kambo	African	must work for everything
Kamea	Hawaiian	Kamea, Kamaya, Kammie, Kam, Mea, Maya
Kameko	Japanese	The child of the tortoise.
Kamil	Arabic/Czech	Arabic: Perfecr. Czech: From a Roman family name. A boy or girl's name.
Kamila	Czech/Polish	From a Roman family name, possibly meaning noble.
Kamilah	Arabic	The perfect one.
Kamilia	Polish	Ceremonial attendant.
Kamna	Hindu	desire
Kamryn	Kami, Kam	
Kanchana	Hindu	a celestial Apsara, gold
Kane	Irish Gaelic	Warlike. A boy or girl's name.
Kanene	African	a little thing in the eye is big
Kanika	Kenyan	black cloth
Kaniya	Native American	Niya
Kantha	Hindu	name of a God
Kanti	Sanskrit	Lovely.
Kanushi	Hindu	
Kanya	Thai	A young lady.
Kapera	African	this child, too, will die
Kara		Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one.
Karel	Czech/Dutch	A free person. A boy or girl's name.
Karen		Pure, virginal.
Karena		Pure one.
Karensa		Love.
Karenza		Love.
Karida	Arabic	untouched, virginal
Karima	Arabic	Noble, generous.
Karimah	African	generous
Karishma	Hindu	
Karissa	Greek	love, grace
Karita	Scandinavian	Loving and benevolent. .
Karka	Hindu	crab
Karla		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Karli		Little and womanly.
Karlotte		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Karly		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Karma	Tibetan/Sherpa	A star. A boy or girl's name.
Karmel		A garden or orchard.
Karmina		Song, songstress.
Karol	Polish	A free person. A boy or girl's name.
Karolina		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Karoline		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Karri	Aboriginal	A type of Eucalyptus.
Karuah	Aboriginal	A native Plum tree.
Karyan	Armenian	the dark one
Kasa	Hopi Indian	fur-robe dress
Kasinda	African	born to a family with twins
Kasmira	Old Slavic	demands peace
Katarina	Swedish	Pure. Also see Catherine, Karen and Kathleen.
Kate	Czech/Russian	Pure. Also see Catherine, Karen and Kathleen.
Katelin		Pure, virginal.
Katerina	Czech/Russian	Pure. Also see Catherine, Karen and Kathleen.
Katerine	Czech/Russian	Pure. Also see Catherine, Karen and Kathleen.
Katharina	Greek	Pure. The name of a 4th-century saint who was martyred on a wheel. Also see Catherine, Karen and Kathleen.
Katharine		Pure, virginal.
Katherine	Greek	Pure. The name of a 4th-century saint who was martyred on a wheel. Also see Catherine, Karen and Kathleen.
Kathie		Pure, virginal.
Kathleen	Irish	Pure, virginal.
Kathryn		Pure, virginal.
Kathy		From the name Katherine.
Katie		Pure, virginal.
Katina		Pure, unsullied.
Katren		Pure. Also see Catherine, Karen and Kathleen.
Katrin		Pure. Also see Catherine, Karen and Kathleen.
Katrina		Pure. Also see Catherine, Karen and Kathleen.
Katrine	German/Scandinavian	Pure. Also see Catherine, Karen and Kathleen.
Katy		Pure, virginal.
Katya		Pure, virginal.
Katyayani	Hindu	
Katyin	Aboriginal	Water.
Kaula	Polynesian	prophet
Kaveri	Hindu	sacred river of India
Kavindra	Hindu	mighty poet
Kavita	Hindu	poem
Kay	Welsh	Rejoiced in. A boy or girl's name.
Kaya	Hopi Indian	my elder sister-little
Kayla	Hebrew	crown of laurels
Kaylana		A combination of Kay and Lana. Kay - A nickname for Katherine meaning pure. Lana - A modern invention made popular by the actress Lana Turner.
Kaylee		A combination of Kay and Lee. Kay - A nickname for Katherine meaning pure. Lee - A meadow or a clearing.
Kayley	Irish Gaelic	Slender.
Kayna	Cornish	A saint's name.
Kazanna	Kasanna, Kazy, Kazi, Kizzy	
Kazia	Hebrew	plant with cinnamon-like bark
Keandra	Hawaiian	
Keara	Irish	from a saint?s name
Kebira	Arabic	Powerful.
Keeley	Irish Gaelic	Beautiful. A boy or girl's name.
Keelin	Celtic	slender, fair
Keely	Gaelic	beautiful and graceful
Keera	Irish Gaelic	Dark, black. Feminine form of Kieran.
Kefira	Hebrew	young lioness
Kehinde	Yoruban	second of tiwns
Kei	Japanese	rapture, reverence
Keiko	Japanese	The beloved or adored one.
Keilana	Hawaiian	adored one
Keilantra	princess of the night sky, magical	Keil, Keilei
Keira	Irish Gaelic	Dark, black. Feminine form of Kieran.
Keisha	African	favourite
Kelda	Old Norse	A fountain or mountain spring.
Kelila	Hebrew	A crown of laurel.
Kellan	Gaelic	warrior princess
Kelley		Warrior or warrior woman.
Kelli		A warrior maid.
Kellsie		Island of the ships.
Kelly	Irish Gaelic	A warrior. A boy or girl's name.
Kelsey	Old Norse	A dweller on the island or by the water. A boy or girl's name.
Kendra	Celtic/Old English	Celtic: A hill. Old English: Royal power. Feminine form of Kendrick.
Kennis	Gaelic	beautiful
Kensington	Kenzi, Kenzy, Kenzington, Kensi, Kensy	
Kenwyn	Cornish/Welsh	The name of a saint. A boy or girl's name.
Kenya		The name of an African country. A boy or girl's name.
Kenyangi	Ugandan	white egret
Kenyatta	Kenyan	
Kepa	Basque	stone
Kerani	Hindu	sacred bells
Keren	Hebrew	A ray, or a horn.
Kerensa	Cornish	Love.
Kerri		Dark and mysterious.
Kerry	Irish Gaelic	The dark one. Also the name of an Irish county. A boy or girl's name.
Kerstin		Swedish form of Christina.
Kerzi	Turkish	
Kesare	Spanish	long-haired
Keshia	African	The favourite.
Kesi	Swahili	born when father was in trouble
Kesia	African	Favourite
Kessie	Ghanese	fat at birth
Kestrel	English	From the bird name.
Ketaki	Hindu	
Ketika	Hindu	
Keturah	Hebrew	Fragrant incense.
Ketzia	Hebrew	surface, cinnamon-like bark
Keverne	Irish Gaelic	The name of a saint and a placename. A boy or girl's name.
Kevina		Handsome, beautiful.
Keyanna		Gracious.
Keyna	Welsh	A jewel.
Kezia	Hebrew	From the Cassia tree, a variety of cinnamon. Also see Kezia.
Khalida	Arabic	Eternal.
Khalidah	Arabic	immortal
Kiah	Aboriginal	From the beautiful place.
Kiana	Hawaiian	moon Goddess
Kiara		The name of an Irish saint.
Kichi	Japanese	fortunate
Kiden	African	Female born after 3+ boys.
Kiele	Hawaiian	gardenia, fragrant blossom
Kiera	Irish Gaelic	Dark, black. Feminine form of Kieran.
Kiki	Egyptian	From the Castor plant.
Kiku	Japanese	A chrysanthemum.
Kiley		Good looking.
Kim	Vietnamese	The golden one or from the meadow.. A boy or girl's name.
Kimatra	Hindu	seduce
Kimba	Aboriginal	A bushfire.
Kimberley	Old English	From the meadow. A boy or girl's name.
Kimberly		A diamond-filled rock.
Kineta	Greek	Active.
Kiona	Native American	brown hills
Kira	Persian	The sun.
Kirby	Teutonic/Old Norse	From the church village. A boy or girl's name.
Kiri	Polynesian	The bark of a tree.
Kirilee		A modern combination, possibly from Kiri and Lee. Kiri - The bark of a tree. Lee - A meadow or a clearing.
Kirima	Eskimo	a hill
Kirra	Aboriginal	A leaf.
Kirsten	Scandinavian	A follower of Christ, a Christian.
Kirstie	Scottish	A follower of Christ, a Christian.
Kirti	Hindu	fame, a form of the Devi
Kisa	Russian	kitty
Kiska	Russian	pure
Kismet	Persian	Destiny.
Kissa	Ugandan	born after twins
Kit	Greek	Bearing Christ or pure. A boy or girl's name.
Kita	Japanese	north
Kitty	Greek	Pure. Also see Catherine, Karen and Kathleen.
Kitu	Hindu	
Kiyoko	Japanese	Clear.
Klara	German/Scandinavian	Bright and famous. The name of an Irish county. Also See Clarice.
Klarissa		The little brilliant one. Also See Clue.
Klaudia	Polish	The lame one. The feminine form of Claude.
Klavdia	Slavic	a lame one
Klea		
Klementyna	Polish	Mild, merciful.
Kleopatra		Glory of the father. The queen of Egypt from 47-30 BC.
Kohana	Japanese	A little flower.
Kohia	Polynesian	A passionflower.
Koko	Japanese/ Native American	Japanese: A stork. North American Indian: Of the night.
Kolina	Greek/Swedish	Greek: Pure. Swedish: A Maiden.
Kolora	Aboriginal	A freshwater lagoon.
Komal	Hindu	
Konstanze	German	Steadfast, constant.
Koorine	Aboriginal	A daughter.
Kora	Aboriginal	A companion.
Kordelia		A jewel of the sea.
Koren	Greek	A maiden.
Kornelia		A horn. The feminine form of Cornelius.
Korra	Aboriginal	Grass.
Kris	Greek	A follower of Christ, a Christian. A boy or girl's name.
Krista		A follower of Christ, a Christian.
Kristabel		Beautiful Christian. Derived from Christina and Belle.
Kristal		Clear as ice. A gemstone name.
Kristel		A follower of Christ, a Christian.
Kristen	Danish	A follower of Christ, a Christian. A boy or girl's name.
Kristie		A follower of Christ, a Christian.
Kristina		A follower of Christ, a Christian.
Kristine		A follower of Christ, a Christian.
Kristy		A follower of Christ, a Christian.
Kriti	Hindu	a work of art
Krupa	Hindu	
Krupali	Hindu	
Krystal		Clear as ice. A gemstone name.
Krystle		Clear as ice. A gemstone name.
Kshama	Hindu	forgiveness, patience, a form of the Devi
Kuhuk	Hindu	
Kumari	Sanskrit	A girl or daughter.
Kumud	Hindu	
Kunti	Hindu	Pritha
Kura	Polynesian/Maori	Polynesian: Red. Maori: Treasure.
Kusum	Hindu	
Kyeema	Aboriginal	Of the dawn, or a Kangaroo.
Kyla	Scottish Gaelic	From the narrow strait. Feminine of Kyle.
Kyleigh		From the narrow strait. Feminine of Kyle.
Kylie	Aboriginal	A boomerang.
Kym		From the meadow.
Kyna	Irish Gaelic	Wise.
Kynthia	Greek	born under the sign of cancer
Kyoko	Japanese	A mirror.
Kyon	Korean	Brightness.
Kyra	sun	
Kyrena		A woman from Cyrene, an ancient Greek colony in North Africa.
Kyrenia		A woman from Cyrene, an ancient Greek colony in North Africa.
Lacey	Old French	Lace.
Lae	Laos	dark
Laetitia	Latin	Happiness.
Laila		As intoxicating as wine.
Lailie	Hebrew	born during light
Laina		Route or path.
Laine		The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Lainey		The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Lakeisha	Swahili	favourite one
Lakota	Native American	friend
Lakshmi	Sanskrit	A lucky omen. The Hindu goddess of beauty and wealth.
Lala	Slavonic	A tulip.
Lalage	Greek	Chatter, babble.
Lalasa	Hindu	love
Lali		The well-spoken one.
Lalima	Hindu	
Lalita	Sanskrit	Playful, charming.
Lalo	Latin	to sing a lullaby
Lamilla	Aboriginal	A stone.
Lamorna	Cornish	A placename.
Lan	Vietnamese	flower name
Lana	English	Afloat, calm as still waters. A diminutive of Alana, Helena and Svetlana.
Lanai		Terrace, veranda.
Lanaya		Lime tree.
Lane	Old English	From the narrow road. A boy or girl's name.
Lanelle		From the narrow road.
Lanette	Lanetta	
Lani	Polynesian	The sky. A boy or girl's name.
Lanikai	Hawaiian	heavenly sea
Laquetta	Native American	Quetta, Etta
Lara	Russian	Cheerful, light-hearted.
Laraine	Old German	From a province on the border of France and Germany.
Lareine	Old German	From a province on the border of France and Germany.
Lareyne	Old German	From a province on the border of France and Germany.
Lari	English	crowned with laurel
Laria	Greek	the sars are mine
Larissa	Russian from Greek	Cheerful, light-hearted.
Lark	English/Aboriginal	English A songbird. Aboriginal a cloud.
Lasca	Latin	Weary.
Lassie	English/Scottish	A little girl.
Lastri	Indonesian	A common girl's name.
Lata	Hindu	
Lateefah	North African	gentle, pleasant
Latifa	Arabic	Kind and gentle.
Latisha		Happiness.
Latonia	Latin	In Roman mythology, the mother of Diana.
Latoya	Spanish	Victorious. A popular name in the USA.
Latrice	Tricey, Trice	
Laura	Latin	A laurel wreath or a tree.
Laurel		A laurel wreath or a tree.
Lauren	English	A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Laurinda	Latin	crowned with laurel, praise
Lavani	Hindu	grace
Laveda	Latin	One who is purified or innocent.
Lavender	English from Latin	From the herb.
Laverne	French	Springlike, or from the Alder tree.
Lavinia	Latin	A lady, or a mother of Rome.
Lawrencia		From the Laurel tree or crowned with laurels.
Laxmi	Hindu	Lakshmi
Layla	Arabic	As intoxicating as wine.
Layna	Greek	light, truth
Leah	Irish Gaelic	The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Leala	French	The loyal one.
Leandra	Latin	Like a lioness. The female version of Leander. Also see Leona.
Leanna		Graceful willow.
Leanne	English	Grace, or favoured by God. A modern invention formed from Lee and Anne.
Leauna	young deer	
Leba	Yiddish	beloved
Leda	Greek	A mythological queen and the mother of Helen of Troy. Also see Alida.
Ledah	Hebrew	birth
Lee	Old English	A meadow or clearing. A boy or girl's name.
Leea		Languid, weary. The wife of Jacob in the Bible.
Leela	Sanskrit	Playful.
Leena	Aboriginal	A possum.
Leewana	Aboriginal	The wind.
Lehana	African	One who refuses.
Leigh	Old English	A meadow or clearing. A boy or girl's name.
Leiko	Japanese	arrogant
Leila	Arabic	Dark as the night.
Leilani	Hawaiian	A heavenly flower.
Lemana	Aboriginal	The She-Oak tree.
Lemuela	Hebrew	Devoted to God. The feminine form of Lemuel.
Lena	English	From the name Caroline, Helen and other names. Caroline - A free person. Helen - Also used as an independent name.
Lene	Dutch/German	A nickname for Helen and Magdalene. Helen - The light of the sun. Magdalene - A woman from the village of Magdala. Also see Lena. .
Lenis	Latin	Gentle and smooth.
Lenora		The light of the sun. A form of Helen.
Lenore		The light of the sun. A form of Helen.
Leoda	Teutonic	A woman of the people.
Leola	Latin	lion
Leoma	Old English	Light, bright.
Leona	Latin	A lioness. A feminine form of Leo or Leon. Also see Leandra, Leonarda and Leontine.
Leonarda	Old French	A brave lioness. Feminine form of Leonard.
Leonora		The light of the sun. A form of Helen.
Leontine	Latin	Like a lion. Also see Leona.
Leopolda	Old German	bold leader
Leora	Greek	Light.
Lesh	Shea	
Lesley	Scottish Gaelic	From an ancient surname. A boy or girl's name.
Letha	Greek	The river of forgetfulness. From the name Lethe.
Leticia		Happiness.
Letitia	Latin	joy
Lettice		Happiness.
Leura	Aboriginal	Lava.
Levana	Latin	The rising sun.
Levina	Old English	A bright flash.
Lewanna	Hebrew	The moon.
Lexie		The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Lexine		The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Lexy		The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Leyna	Old German	little angel
Lhamu	Tibetan/Sherpa	A goddess.
Lia	Italian	Languid, weary.
Liadan	Irish	grey lady
Lian	Chinese	A graceful willow.
Liana	French	To bind like a vine.
Liani	Spanish	
Liannaka	bringer of Peace, hope	Lan, Lani, Lanna, Anna
Libby		From the name Elizabeth and Sybil.
Liberty	English	freedom
Lida	Czech	A woman from Lydia. The name has come to mean a cultured woman.
Lidia		A woman from Lydia. The name has come to mean a cultured woman.
Lien	Chinese	A lotus.
Liese	German	Form of Elizabeth, meaning consecrated to God.
Liesl	German	Form of Elizabeth, meaning consecrated to God.
Lila		The beautiful temptress.
Lilac	Persian	Mauve flower.
Lilah	Hebrew	The beautiful temptress.
Lili		Consecrated to God. Also see Isabel and Lisa.
Lilia	Russian/Slavonic	Mauve flower. From the name Lilac.
Lilith	Arabic/Hebrew	Dark, a woman of the night.
Lilli		From the name Elizabeth, meaning consecrated to God.
Lillian	English	From the name Elizabeth, meaning consecrated to God.
Lily	Latin	From the flower name, a symbol of purity. Also see Lillian.
Limber	African	joyfulness
Lina	Arabic	tender
Linda	Spanish	Pretty. Also a nickname from Belinda.
Lindall		A waterfall. Also, a nickname from names like Carolyn.
Lindley	Old English	From the Lime tree meadow. A boy or girl's name.
Lindon	Old English	From the hill of the Lime trees.
Lindsey	Scottish	From an old surname.
Lindy	Spanish	Pretty. Also a nickname from Belinda.
Linette		Idol, bird.
Linh		
Linley	Old English	From the field of Flax. A boy or girl's name.
Linne	Scandinavian	Lynne, Linny
Linnea	Old Norse	A Lime tree or Lime blossom.
Linnet	Old French	From the name of the small bird.
Linzi	Scottish	From an old surname.
Liora	Liorre, Liorra, Liore	
Lisa		A nickname for Elizabeth, meaning consecrated to God.
Lisabet		Consecrated to God. Also see Isabel and Lisa.
Lisabeth		Consecrated to God. Also see Isabel and Lisa.
Lisbet		Consecrated to God. Also see Isabel and Lisa.
Lisbeth		Consecrated to God. Also see Isabel and Lisa.
Lisette		Consecrated to God. Also see Isabel and Lisa.
Lissa	Greek	The honeybee.
Lita		The little winged one.
Litsa	Greek	one who brings good news
Liv		An Olive tree or branch. A symbol of peace. From the name Olivia.
Livana		Lunar.
Livi		An Olive tree or branch. A symbol of peace. From the name Olivia.
Livia		An Olive tree or branch. A symbol of peace. From the name Olivia.
Liz		Consecrated to God. Also see Isabel and Lisa.
Liza		A nickname for Elizabeth, meaning consecrated to God.
Lizbeth		A form of Elizabeth, meaning consecrated to God.
Lizette		Consecrated to God. Also see Isabel and Lisa.
Lizzie		Consecrated to God. Also see Isabel and Lisa.
Lizzy		Consecrated to God. Also see Isabel and Lisa.
Llv	Old Norse	Defence, protection.
Lodema	Old English	A guide or leader.
Lois	Greek	Agreeable. A name from the New Testament.
Lokelani	Hawaiian	small red rose
Lola	Spanish	Sorrow.
Lolaksi	Hindu	a sakti of Ganesha
Lona	English/Spanish	Solitary.
Lonikie	pretty one	
Loorea	Aboriginal	The moon.
Lora	German	A laurel wreath or a tree.
Lore	German	A laurel wreath or a tree.
Lorelei	German	Alluring. The name of the river goddess who lured sailors to their death.
Lorelle	Latin	Little. Also see Laura.
Loren	Latin	From the Laurel tree or crowned with laurels. A boy or girl's name.
Lorena		A laurel wreath or a tree.
Lorene		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Loretta	Italian	A laurel wreath or a tree.
Lori		A laurel wreath or a tree.
Lorie		Crowned with laurels.
Lorinda		
Loris		A laurel wreath or a tree.
Lorna	English/Scottish	Invented by R D Blackmore for the heroine of his 1860s novel Lorna Doone, and possibly derived, from a Scottish placename.
Lorrae	Australian	From Lorraine and Rae. From a province on the border of France and Germany.
Lorraine	Old German	From a province on the border of France and Germany.
Lorretta		A laurel wreath or a tree.
Lotta		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Lotte		Womanly, full grown. Also see Carla, Carol and Caroline.
Lottie		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Lotty		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Lotus	Greek	The lotus flower.
Louella	English	A famous warrior. A modern name derived from Louise and Ella.
Louisa		A famous warrior.
Louise	Teutonic	A famous warrior maiden. The feminine form of Louis.
Lourdes	French/Spanish	From the pilgrimage town in southern France.
Love	Old English	loved one
Loveday	Old English	Dear day.
Lowan	Aboriginal	A mallee fowl. A boy or girl's name.
Lowanna	Aboriginal	A girl.
Lowenna	Cornish	Joyful.
Luana	Old German	A graceful warrior maiden.
Luba	Russian/Slavonic	A lover.
Luce		From the name Lucus. A woman from Lucania.
Lucetta	Italian/Spanish	Light. The feminine form of Lucius and Luke.
Lucia	Italian/Spanish	Light. The feminine form of Lucius and Luke.
Lucian	Latin	Person of Light. A boy or girl's name.
Luciana	Italian	Light. The feminine form of Lucius and Luke.
Lucianna	English	A modern combination of Lucy and Anna. Lucy - Light. Anna - Grace, or favoured by God.
Lucie		Light. The feminine form of Lucius and Luke.
Lucille		Light. The feminine form of Lucius and Luke.
Lucina	Latin	The Roman goddess of childbirth. Also see Lucy.
Lucinda		Light. The feminine form of Lucius and Luke.
Lucine	Armenian	moon
Lucretia	Latin	Reward, riches.
Lucy	Latin	Light. The feminine form of Lucius and Luke.
Ludella	Old English	An elf or pixie maiden.
Ludmila	Slavonic	Loved by the people. Also see Lida.
Luella	Old English	elfin
Luisa	Italian/Spanish	A famous warrior maiden. The feminine form of Louis.
Luise	German	A famous warrior maiden. The feminine form of Louis.
Lujuana	Spanish	Lu
Lukina	Ukrainian	graceful and bright
Lulu	German	A famous warrior maiden. A nickname for Louella and Louise, but also used as an independent name.
Luna	Latin	The moon.
Lupe	Latin	wolf
Lurleen		Alluring.
Lurlene		Alluring.
Lurline		Alluring.
Lurnea	Aboriginal	A resting-place.
Luvena	Latin	The little beloved one.
Lychorinda	Italian	From Shakespeare's play Pericles
Lydia	Greek	A woman from Lydia. The name has come to mean a cultured woman.
Lykaios	Greek	wolfish, of a wolf, wolf-like
Lyn	Welsh	Good looking. A boy or girl's name.
Lynda	Spanish	Pretty. Also a nickname from Belinda.
Lyndal	Australian/English	A modern name possibly derived from Lynn and Dale. Lynn - A waterfall. Dale - A valley dweller.
Lynde		From the hill of the Lime trees.
Lyndel		Pretty.
Lyndey	Spanish	Pretty. Also a nickname from Belinda.
Lyndsey	Scottish	From an old surname.
Lynelle		Pretty.
Lynette		From the name of the small bird.
Lynn	Old English/Welsh	Old English: A waterfall. Welsh: Good looking. A boy or girl's name.
Lynna		Waterfall.
Lynne		Pretty.
Lynnea		Pretty.
Lynnette		From the name of the small bird.
Lynsey	Scottish	From an old surname.
Lyra		
Lyris	Greek	She who plays the harp.
Lys	French	A symbol of purity. Also see Lillian.
Lysa		A nickname for Elizabeth, meaning consecrated to God.
Lysander	Greek	The liberator. A boy or girl's name.
Lysandra	Greek	The liberator.
Lysette		Consecrated to God. Also see Isabel and Lisa.
Lystra	Greek	Free.
Nabelung	African	beautiful one
Nabila	Arabic	Noble.
Nada	Arabic	The generous one.
Nadda	Aboriginal	A camp.
Nadezda	Czech	one with hope
Nadia	Slavonic	Hope.
Nadie		Hope.
Nadine		Hope.
Nadira	Arabic	Precious.
Nadya		The generous one.
Nafeeza	Arabic	precious thing
Nagihan	Turkish	
Nahoko	Japanese	child of Naho
Naia	Greek	flowing
Naida	Greek	A water nymph.
Nailah	African	succeeding
Naimah	Arabic	living a soft, enjoyable life
Naina	Hindu	eyes
Nairne	Scottish Gaelic	From the river.
Nalani	Hawaiian	The calm of the skies.
Nalini	Sanskrit	lovely
Nama	Aboriginal	A Tea-Tree.
Namazzi	Ugandan	water
Nami	Japanese	A wave.
Namiko	Japanese	child of Nami
Namrata	Hindu	
Nan		Grace, or favoured by God. From the name Anne, Nancy and Nanette.
Nanako	Japanese	child of Nana
Nancy		Grace, or favoured by God. Originally a nickname from Anne, but also an independent name.
Nandini	Hindu	
Nandita	Hindu	
Nanette	French	Grace, or favoured by God. Originally a nickname from Anne, but also an independent name.
Nani	Polynesian	Beautiful.
Nanine		Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Nanna	Hebrew	graceful one
Nanon	French	Grace, or favoured by God. From the name Anne.
Nantale	Ugandan	clan totem is a lion
Naoko	Japanese	child of Nao
Naomi	Hebrew	Pleasant. A biblical name, and the feminine form of Noam.
Napea	Latin	A girl of the valley.
Nara	Old English/Japanese/Aboriginal	Old English: The nearest and dearest one. Japanese: An Oak tree. Aboriginal: A companion.
Narcissa	Greek	self-love
Narda	Latin	A fragrant ointment or perfume.
Narella	Greek	bright one
Narelle	Australian	Probably derived from Nara and Elle. Nara - Old English: The nearest and dearest one. Japanese: An Oak tree. Aboriginal: A companion. Elle - She, a woman.
Naretha	Aboriginal	A saltbush.
Narkeasha	African	pretty
Narmada	Hindu	name of a river
Nasha	African	Born during rainy season.
Nashwa	Egyptian	wonderful feeling
Nasiche	Ugandan	born during locust season
Nasrin	Persian	A wild rose.
Nastasia	Russian from Greek	She who will rise again.
Natala		Born at Christmas. From the name Natalie, but also used as an independent name.
Natalia		Born at Christmas. From the name Natalie, but also used as an independent name.
Natalie	Latin	Born at Christmas.
Natalya	Russian	Born at Christmas.
Natane	Native American	Female child.
Nataniella	Hebrew	gift of God
Natasha	Russian	Born at Christmas. From the name Natalie, but also used as an independent name.
Nathalie	French	Born at Christmas. From the name Natalie, but also used as an independent name.
Nathania	Hebrew	The gift of God. Feminine form of Nathan.
Natividad	Spanish	The nativity.
Natsuko	Japanese	child of Natsu
Navdeep	Hindu	Navdip
Naveena	strong-willed supporter	Navina
Nawal	Arabic	A gift.
Nayoko	Japanese	child of Nayo
Naysa	Hebrew	miracle of God
Nazaret	Spanish	Of Nazareth.
Nazirah	Arabic	equal, like
Nea		New, the newcomer.
Neala	Irish Gaelic	The champion. Feminine form of Neal or Neil.
Neci	Latin	intense, fiery
Neda	Slavonic	Born on Sunday.
Nediva	Hebrew	noble and generous
Neeharika	Hindu	
Neelam	Hindu	sapphire
Neelja	Hindu	
Neena	Hindu	
Neerja	Hindu	lotus flower
Neeta	Hindu	
Neha	Hindu	rain
Neka	Native American	A wild goose.
Nelda	Old English	Of the Elder tree.
Nelia		The champion. .
Nell	Old French	The light of the sun. From Eleanor and a form of Helen.
Nelleke	Dutch	a horn
Nellie		From Helen.
Nellwyn	Old English	A bright companion.
Neola	Greek	The young one.
Neoma	Greek	The new moon.
Nerhim	Turkish	
Neria	Hebrew	lamp of God, angel
Nerida	Aboriginal	A flower.
Nerin	Greek	a nereid, one from the sea
Nerina	Greek	A sea nymph.
Nerissa	Greek	A sea nymph.
Neroli		After an Italian princess.
Nerys	Welsh	A lady.
Nessa		Pure, chaste. From the name Agnes and Vanessa.
Nessan		Stoat.
Nesta	Welsh	Pure, chaste. Form of Agnes.
Netanya		God's gift.
Netta	Latin	Beyond price, praiseworthy. From the name Antonia, Henrietta and many names ending with `ette'.
Nettie	Latin	Beyond price, praiseworthy. From the name Antonia, Henrietta and many names ending with `ette'.
Netty	Latin	Beyond price, praiseworthy. From the name Antonia, Henrietta and many names ending with `ette'.
Neva	Spanish	covered with snow
Nevada	Spanish	Snow, or as white as snow. Also the name of an American state. A boy or girl's name.
